category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
PMID,PMID:34648531,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,0.0024,(2021) Identification of candidate genes on the basis of SNP by time-lagged heat stress interactions for milk production traits in German Holstein cattle.,ABCA6,3
PMID,PMID:30090003,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,0.0024,(2018) ATP-binding cassette transporters in progression and clinical outcome of pancreatic cancer: What is the way forward?,ABCA6,3
PMID,PMID:35631534,3,47,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.54e-08,0.0025,(2022) DNA Copy Number Aberrations and Expression of ABC Transporter Genes in Breast Tumour: Correlation with the Effect of Neoadjuvant Chemotherapy and Prognosis of the Disease.,ABCA6,3
PMID,PMID:33945502,3,49,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.73e-08,0.0025,(2021) Adipocyte-like signature in ovarian cancer minimal residual disease identifies metabolic vulnerabilities of tumor-initiating cells.,ABCA6,3
PMID,PMID:34572110,3,48,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.63e-08,0.0025,(2021) Impact of ABC Transporters in Osteosarcoma and Ewings Sarcoma: Which Are Involved in Chemoresistance and Which Are Not?,ABCA6,3
PMID,PMID:26286669,3,48,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.63e-08,0.0025,(2015) Validated MicroRNA Target Databases: An Evaluation.,ABCA6,3
PMID,PMID:22553972,3,50,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.84e-08,0.0026,(2012) ATP-binding cassette transporters in immortalised human brain microvascular endothelial cells in normal and hypoxic conditions.,ABCA6,3
PMID,PMID:25505559,3,51,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.95e-08,0.0027,(2013) Expression pattern of human ATP-binding cassette transporters in skin.,ABCA6,3
PMID,PMID:28819395,3,55,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.42e-08,0.0033,(2017) Downregulation of ABC Transporters in Non-neoplastic Tissues Confers Better Prognosis for Pancreatic and Colorectal Cancer Patients.,ABCA6,3
PMID,PMID:31052165,3,72,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.3e-08,0.007,(2019) Biological Insights into Chemotherapy Resistance in Ovarian Cancer.,ABCA6,3
PMID,PMID:32873298,3,80,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",7.21e-08,0.0093,(2020) High expression of MKK3 is associated with worse clinical outcomes in African American breast cancer patients.,ABCA6,3
PMID,PMID:32403949,3,86,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",8.91e-08,0.0112,(2020) Transcriptional and Cellular Diversity of the Human Heart.,ABCA6,3
PMID,PMID:27727291,3,88,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",9.53e-08,0.0117,(2016) Early Transcriptomic Response to LDL and oxLDL in Human Vascular Smooth Muscle Cells.,ABCA6,3
PMID,PMID:32710948,2,3,9606,"ABCA9,ABCA8","ABCA9,ABCA8",1.55e-07,0.0181,(2020) Systematic analysis of the ABC transporter family in hepatocellular carcinoma reveals the importance of ABCB6 in regulating ferroptosis.,ABCA6,3
PMID,PMID:30283400,3,103,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.51e-07,0.0181,(2018) Sterol Metabolism and Transport in Atherosclerosis and Cancer.,ABCA6,3
PMID,PMID:12532264,2,3,9606,"ABCA6,ABCA9","ABCA6,ABCA9",1.55e-07,0.0181,(2003) Evolutionary analysis of a cluster of ATP-binding cassette (ABC) genes.,ABCA6,3
PMID,PMID:29520568,2,4,9606,"ABCA6,ABCA9","ABCA6,ABCA9",2.32e-07,0.0259,(2018) Gene expression of A6-like subgroup of ATP-binding cassette transporters in mouse brain parenchyma and microvessels.,ABCA6,3
PMID,PMID:11478798,2,4,9606,"ABCA6,ABCA8","ABCA6,ABCA8",2.32e-07,0.0259,"(2001) ABCA6, a novel a subclass ABC transporter.",ABCA6,3
PMID,PMID:35714911,3,128,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.87e-07,0.0308,(2022) New dawn for cancer cell death: Emerging role of lipid metabolism.,ABCA6,3
PMID,PMID:37153595,3,135,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.36e-07,0.0353,(2023) Diversity and heterogeneity in human breast cancer adipose tissue revealed at single-nucleus resolution.,ABCA6,3
RCTM,HSA-382556,3,102,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.47e-07,0.00034,ABC-family proteins mediated transport,ABCA6,3
RCTM,HSA-1369062,2,18,9606,"ABCA6,ABCA9","ABCA6,ABCA9",2.94e-06,0.0034,ABC transporters in lipid homeostasis,ABCA6,3
NetworkNeighborAL,CL:12311,3,12,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.57e-10,1.63e-06,"ABC-type xenobiotic transporter activity, and ABC transporters in lipid homeostasis",ABCA6,3
