category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
Component,GO:0097059,2,2,9606,"CLCF1,CNTFR","CLCF1,CNTFR",6.49e-07,0.0013,CNTFR-CLCF1 complex,CRLF1,7
Function,GO:0005125,4,234,9606,"IL12A,CLCF1,IL27,CNTF","IL12A,CLCF1,IL27,CNTF",7.06e-07,0.0035,Cytokine activity,CRLF1,7
Function,GO:0005126,4,270,9606,"IL12A,CLCF1,IL27,CNTF","IL12A,CLCF1,IL27,CNTF",1.24e-06,0.0035,Cytokine receptor binding,CRLF1,7
Function,GO:0005127,2,8,9606,"CLCF1,CNTF","CLCF1,CNTF",4.86e-06,0.008,Ciliary neurotrophic factor receptor binding,CRLF1,7
Function,GO:0008083,3,162,9606,"IL12A,CLCF1,CNTF","IL12A,CLCF1,CNTF",1.97e-05,0.0161,Growth factor activity,CRLF1,7
Function,GO:0019955,3,141,9606,"IL12A,CNTFR,CRLF1","IL12A,CNTFR,CRLF1",1.31e-05,0.0161,Cytokine binding,CRLF1,7
Function,GO:0005102,5,1499,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR","IL12A,CLCF1,IL27,CNTF,CNTFR",4.74e-05,0.026,Signaling receptor binding,CRLF1,7
DISEASES,DOID:0060294,3,5,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.54e-09,7.06e-06,Cold-induced sweating syndrome,CRLF1,7
DISEASES,DOID:0080329,2,2,9606,"CNTFR,CRLF1","CNTFR,CRLF1",6.49e-07,0.0015,Cold-induced sweating syndrome 1,CRLF1,7
Keyword,KW-0202,3,187,9606,"IL12A,CLCF1,IL27","IL12A,CLCF1,IL27",3e-05,0.0202,Cytokine,CRLF1,7
KEGG,hsa04060,5,282,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR","IL12A,CLCF1,IL27,CNTF,CNTFR",1.3e-08,4.36e-06,Cytokine-cytokine receptor interaction,CRLF1,7
KEGG,hsa04630,3,158,9606,"IL12A,CNTF,CNTFR","IL12A,CNTF,CNTFR",1.83e-05,0.0031,JAK-STAT signaling pathway,CRLF1,7
InterPro,IPR009079,4,56,9606,"IL12A,CLCF1,IL27,CNTF","IL12A,CLCF1,IL27,CNTF",2.7e-09,1.94e-05,"Four-helical cytokine-like, core",CRLF1,7
Pfam,PF01110,2,2,9606,"CLCF1,CNTF","CLCF1,CNTF",6.49e-07,0.0015,Ciliary neurotrophic factor,CRLF1,7
PMID,PMID:36930708,5,29,9606,"CLCF1,IL27,CNTF,CNTFR,CRLF1","CLCF1,IL27,CNTF,CNTFR,CRLF1",2.36e-13,1.21e-06,(2023) Structural insights into the assembly of gp130 family cytokine signaling complexes.,CRLF1,7
PMID,PMID:26198769,4,5,9606,"CLCF1,IL27,CNTFR,CRLF1","CLCF1,IL27,CNTFR,CRLF1",7.02e-13,1.21e-06,"(2015) Cardiotrophin-like cytokine factor 1 (CLCF1) and neuropoietin (NP) signalling and their roles in development, adulthood, cancer and degenerative disorders.",CRLF1,7
PMID,PMID:16782820,4,4,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.9e-13,1.21e-06,"(2006) Inactivation of cardiotrophin-like cytokine, a second ligand for ciliary neurotrophic factor receptor, leads to cold-induced sweating syndrome in a patient.",CRLF1,7
PMID,PMID:17436251,4,6,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.17e-12,1.5e-06,(2007) Mutations in cytokine receptor-like factor 1 (CRLF1) account for both Crisponi and cold-induced sweating syndromes.,CRLF1,7
PMID,PMID:35402550,5,48,9606,"CLCF1,IL27,CNTF,CNTFR,CRLF1","CLCF1,IL27,CNTF,CNTFR,CRLF1",2.42e-12,2.49e-06,(2022) The Role of Interleukin-6 Family Members in Cardiovascular Diseases.,CRLF1,7
PMID,PMID:29507344,4,12,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.01e-11,8.68e-06,(2018) Effect of human very low-density lipoproteins on cardiotrophin-like cytokine factor 1 (CLCF1) activity.,CRLF1,7
PMID,PMID:33430863,4,16,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",2.69e-11,1.98e-05,(2021) Association of cardiotrophin-like cytokine factor 1 levels in peripheral blood mononuclear cells with bone mineral density and osteoporosis in postmenopausal women.,CRLF1,7
PMID,PMID:28058407,4,19,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",4.92e-11,3.17e-05,(2016) Neuropathies of Stuve-Wiedemann Syndrome due to mutations in leukemia inhibitory factor receptor (LIFR) gene.,CRLF1,7
PMID,PMID:25843671,4,19,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",4.92e-11,3.17e-05,(2015) Janus kinase 2signal transducer and activator of transcription 3 inhibitors attenuate the effect of cardiotrophin-like cytokine factor 1 and human focal segmental glomerulosclerosis serum on glomerular filtration barrier.,CRLF1,7
PMID,PMID:30871285,4,23,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",9.75e-11,5.02e-05,(2019) Current Knowledge of IL-6 Cytokine Family Members in Acute and Chronic Kidney Disease.,CRLF1,7
PMID,PMID:34073576,5,107,9606,"CLCF1,IL27,CNTF,CNTFR,CRLF1","CLCF1,IL27,CNTF,CNTFR,CRLF1",1.13e-10,5.27e-05,(2021) Interleukins and Interleukin Receptors Evolutionary History and Origin in Relation to CD4+ T Cell Evolution.,CRLF1,7
PMID,PMID:24618404,4,25,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.32e-10,5.66e-05,(2014) Stuve-Wiedemann syndrome: LIFR and associated cytokines in clinical course and etiology.,CRLF1,7
PMID,PMID:26858303,4,28,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",2e-10,7.9e-05,"(2016) Cytokine-Like Factor 1, an Essential Facilitator of Cardiotrophin-Like Cytokine:Ciliary Neurotrophic Factor Receptor alpha Signaling and sorLA-Mediated Turnover.",CRLF1,7
PMID,PMID:33097691,4,29,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",2.27e-10,8.35e-05,(2020) The miR-30a-5pCLCF1 axis regulates sorafenib resistance and aerobic glycolysis in hepatocellular carcinoma.,CRLF1,7
PMID,PMID:28605657,4,33,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.67e-10,0.00013,(2017) Muscle as a paracrine and endocrine organ.,CRLF1,7
PMID,PMID:27054527,3,3,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",5.49e-10,0.00018,(2017) Corneal alterations in CrisponiCISS1 syndrome: A slit-lamp biomicroscopy and in vivo confocal microscopy corneal report.,CRLF1,7
PMID,PMID:24073352,3,3,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",5.49e-10,0.00018,(2013) Cold induced sweating syndrome with urinary system anomaly association.,CRLF1,7
PMID,PMID:23355913,3,3,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",5.49e-10,0.00018,(2012) Role of cytokine receptor-like factor 1 in hepatic stellate cells and fibrosis.,CRLF1,7
PMID,PMID:19098279,3,3,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",5.49e-10,0.00018,(2009) Neonatal death in mice lacking cardiotrophin-like cytokine is associated with multifocal neuronal hypoplasia.,CRLF1,7
PMID,PMID:14523086,3,3,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",5.49e-10,0.00018,(2003) Cardiotrophin-like cytokinecytokine-like factor 1 is an essential trophic factor for lumbar and facial motoneurons in vivo.,CRLF1,7
PMID,PMID:31998465,4,41,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",8.26e-10,0.0002,(2019) Gender associated effects of the ethanolic extracts of Chinese propolis on the hepatic transcriptome in ethanol-treated mice.,CRLF1,7
PMID,PMID:15450249,3,4,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",9.6e-10,0.00022,(2004) Novel neurotrophin-1B cell-stimulating factor-3 (NNT-1BSF-3)cardiotrophin-like cytokine (CLC)--a novel gp130 cytokine with pleiotropic functions.,CRLF1,7
PMID,PMID:28232471,4,45,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.17e-09,0.00026,(2017) Distinct populations of inflammatory fibroblasts and myofibroblasts in pancreatic cancer.,CRLF1,7
PMID,PMID:28951873,4,46,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.28e-09,0.00027,(2017) Multiple Targets for Novel Therapy of FSGS Associated with Circulating Permeability Factor.,CRLF1,7
PMID,PMID:35571403,4,48,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.5e-09,0.00031,"(2022) Bromodomain-containing protein 4 activates cardiotrophin-like cytokine factor 1, an unfavorable prognostic biomarker, and promotes glioblastoma in vitro.",CRLF1,7
PMID,PMID:32670064,4,49,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.62e-09,0.00031,(2020) Treating Different Diseases With the Same Method-A Traditional Chinese Medicine Concept Analyzed for Its Biological Basis.,CRLF1,7
PMID,PMID:10966616,3,5,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",1.54e-09,0.00031,(2000) CLF associates with CLC to form a functional heteromeric ligand for the CNTF receptor complex.,CRLF1,7
PMID,PMID:32998371,4,50,9606,"CLCF1,IL27,CNTF,CRLF1","CLCF1,IL27,CNTF,CRLF1",1.75e-09,0.00032,(2020) IL-12 and IL-23-Close Relatives with Structural Homologies but Distinct Immunological Functions.,CRLF1,7
PMID,PMID:27696410,3,6,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",2.3e-09,0.00041,(2017) Adult ciliary neurotrophic factor receptors help maintain facial motor neuron choline acetyltransferase expression in vivo following nerve crush.,CRLF1,7
PMID,PMID:15683542,3,6,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",2.3e-09,0.00041,(2005) clc is co-expressed with clf or cntfr in developing mouse muscles.,CRLF1,7
PMID,PMID:35055176,4,59,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.3e-09,0.00055,"(2022) CRLF1 and CLCF1 in Development, Health and Disease.",CRLF1,7
PMID,PMID:31497877,3,7,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",3.29e-09,0.00055,"(2020) Crisponicold-induced sweating syndrome: Differential diagnosis, pathogenesis and treatment concepts.",CRLF1,7
PMID,PMID:30902524,3,7,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.29e-09,0.00055,(2019) Muscle ciliary neurotrophic factor receptor alpha helps maintain choline acetyltransferase levels in denervated motor neurons following peripheral nerve lesion.,CRLF1,7
PMID,PMID:23504871,3,7,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.29e-09,0.00055,(2013) Muscle ciliary neurotrophic factor receptor alpha promotes axonal regeneration and functional recovery following peripheral nerve lesion.,CRLF1,7
PMID,PMID:22986012,3,8,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",4.52e-09,0.00066,(2012) The cytokines cardiotrophin-like cytokinecytokine-like factor-1 (CLCCLF) and ciliary neurotrophic factor (CNTF) differ in their receptor specificities.,CRLF1,7
PMID,PMID:12843240,3,8,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.52e-09,0.00066,(2003) Glial reactivity in ciliary neurotrophic factor-deficient mice after optic nerve lesion.,CRLF1,7
PMID,PMID:40708997,3,10,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",7.84e-09,0.0011,(2025) Association analysis of single nucleotide polymorphisms in the LIFR gene with lambing number in sheep.,CRLF1,7
PMID,PMID:36222303,3,10,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",7.84e-09,0.0011,"(2022) Uncovering the promiscuous activity of IL-6 proteins: A multi-dimensional analysis of phylogeny, classification and residue conservation.",CRLF1,7
PMID,PMID:30554447,3,10,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",7.84e-09,0.0011,(2019) Muscle ciliary neurotrophic factor receptor alpha contributes to motor neuron STAT3 activation following peripheral nerve lesion.,CRLF1,7
PMID,PMID:11294841,3,10,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",7.84e-09,0.0011,(2001) Signaling pathways recruited by the cardiotrophin-like cytokinecytokine-like factor-1 composite cytokine: specific requirement of the membrane-bound form of ciliary neurotrophic factor receptor alpha component.,CRLF1,7
PMID,PMID:31156640,4,80,9606,"CLCF1,IL27,CNTF,CNTFR","CLCF1,IL27,CNTF,CNTFR",1.06e-08,0.0013,(2019) Coordination of Immune-Stroma Crosstalk by IL-6 Family Cytokines.,CRLF1,7
PMID,PMID:30578761,3,12,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.25e-08,0.0015,(2019) Leukemia inhibitory factor signaling in Xenopus embryo: Insights from gain of function analysis and dominant negative mutant of the receptor.,CRLF1,7
PMID,PMID:35530960,3,13,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.53e-08,0.0018,(2022) CLCF1 is up-regulated in renal ischemia reperfusion injury and may associate with FOXO3.,CRLF1,7
PMID,PMID:21164505,3,14,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.86e-08,0.0022,(2011) Gp130 cytokines exert differential patterns of crosstalk in adipocytes both in vitro and in vivo.,CRLF1,7
PMID,PMID:17563726,3,14,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",1.86e-08,0.0022,(2007) Expression of ciliary neurotrophic factor (CNTF) and its tripartite receptor complex by cells of the human optic nerve head.,CRLF1,7
PMID,PMID:15249728,3,14,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.86e-08,0.0022,(2004) Comparative study of gp130 cytokine effects on corticotroph AtT-20 cells--redundancy or specificity of neuroimmunoendocrine modulators?,CRLF1,7
PMID,PMID:21106488,4,103,9606,"CLCF1,IL27,CNTF,CNTFR","CLCF1,IL27,CNTF,CNTFR",2.84e-08,0.0031,(2010) Evolutionary divergence and functions of the human interleukin (IL) gene family.,CRLF1,7
PMID,PMID:32530750,3,17,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",3.12e-08,0.0033,(2020) Different roles of interleukin 6 and interleukin 11 in the liver: implications for therapy.,CRLF1,7
PMID,PMID:25540807,3,17,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",3.12e-08,0.0033,(2014) Unusual Stuve-Wiedemann syndrome with complete maternal chromosome 5 isodisomy.,CRLF1,7
PMID,PMID:26146641,3,18,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.64e-08,0.0037,"(2015) Renal and Hematological Effects of CLCF-1, a B-Cell-Stimulating Cytokine of the IL-6 Family.",CRLF1,7
PMID,PMID:24616665,3,19,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",4.21e-08,0.0043,(2014) Trophic factors as modulators of motor neuron physiology and survival: implications for ALS therapy.,CRLF1,7
PMID,PMID:36034849,3,20,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.85e-08,0.0048,(2022) A combined aging and immune prognostic signature predict prognosis and responsiveness to immunotherapy in melanoma.,CRLF1,7
PMID,PMID:21375496,3,20,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.85e-08,0.0048,(2011) The gp130 receptor cytokine family: regulators of adipocyte development and function.,CRLF1,7
PMID,PMID:25259790,3,21,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",5.54e-08,0.0053,"(2014) Recombinant p35 from bacteria can form Interleukin (IL-)12, but Not IL-35.",CRLF1,7
PMID,PMID:31538427,3,22,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",6.29e-08,0.0059,(2019) microRNA-146a Promotes Growth of Acute Leukemia Cells by Downregulating Ciliary Neurotrophic Factor Receptor and Activating JAK2STAT3 Signaling.,CRLF1,7
PMID,PMID:28265003,3,24,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",8e-08,0.0073,(2017) SorLA in Interleukin-6 Signaling and Turnover.,CRLF1,7
PMID,PMID:28491286,3,24,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",8e-08,0.0073,(2017) Unwinding focal segmental glomerulosclerosis.,CRLF1,7
PMID,PMID:22319590,3,24,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",8e-08,0.0073,(2012) STAT3 is activated by JAK2 independent of key oncogenic driver mutations in non-small cell lung carcinoma.,CRLF1,7
PMID,PMID:34603342,3,25,9606,"CLCF1,IL27,CRLF1","CLCF1,IL27,CRLF1",8.96e-08,0.0078,(2021) A Chaperone-Like Role for EBI3 in Collaboration With Calnexin Under Inflammatory Conditions.,CRLF1,7
PMID,PMID:20554759,3,25,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",8.96e-08,0.0078,(2010) Forced homo- and heterodimerization of all gp130-type receptor complexes leads to constitutive ligand-independent signaling and cytokine-independent growth.,CRLF1,7
PMID,PMID:31552057,3,27,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.11e-07,0.0094,(2019) Cardiotrophin-Like Cytokine Factor 1 Exhibits a Myeloid-Biased Hematopoietic-Stimulating Function.,CRLF1,7
PMID,PMID:37061565,3,28,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",1.23e-07,0.0102,(2023) Cytokimera GIL-11 rescued IL-6R deficient mice from partial hepatectomy-induced death by signaling via non-natural gp130:LIFR:IL-11R complexes.,CRLF1,7
PMID,PMID:31700175,3,29,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.36e-07,0.0111,(2019) Antitumor activity of an engineered decoy receptor targeting CLCF1-CNTFR signaling in lung adenocarcinoma.,CRLF1,7
PMID,PMID:23818941,3,29,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.36e-07,0.0111,(2013) Cytokine receptor-like factor 1 (CRLF1) protects against 6-hydroxydopamine toxicity independent of the gp130JAK signaling pathway.,CRLF1,7
PMID,PMID:32780864,3,31,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.63e-07,0.0129,(2020) CNTF Prevents Development of Outer Retinal Neovascularization Through Upregulation of CxCl10.,CRLF1,7
PMID,PMID:37069261,3,32,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",1.79e-07,0.0139,"(2023) Targeting IL-6 trans-signalling: past, present and future prospects.",CRLF1,7
PMID,PMID:21715184,3,32,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",1.79e-07,0.0139,(2011) Cytokine-like factor 1 (CLF1): life after development?,CRLF1,7
PMID,PMID:26279360,3,35,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",2.3e-07,0.0174,(2015) Interleukin 35: Critical regulator of immunity and lymphocyte-mediated diseases.,CRLF1,7
PMID,PMID:38045285,3,38,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",2.91e-07,0.0217,(2023) Spatial transcriptomics defines injury-specific microenvironments in the adult mouse kidney and novel cellular interactions in regeneration and disease.,CRLF1,7
PMID,PMID:20044292,3,38,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",2.91e-07,0.0217,(2010) Upregulation of elastase activity in aorta in mucopolysaccharidosis I and VII dogs may be due to increased cytokine expression.,CRLF1,7
PMID,PMID:33606986,3,39,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",3.13e-07,0.0227,(2021) Structural basis for IL-12 and IL-23 receptor sharing reveals a gateway for shaping actions on T versus NK cells.,CRLF1,7
PMID,PMID:29163025,3,39,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",3.13e-07,0.0227,(2017) BDNFtrkB Induction of Calcium Transients through Cav2.2 Calcium Channels in Motoneurons Corresponds to F-actin Assembly and Growth Cone Formation on beta2-Chain Laminin (221).,CRLF1,7
PMID,PMID:32788655,3,40,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",3.37e-07,0.0237,"(2020) The JAK1STAT3SOCS3 axis in bone development, physiology, and pathology.",CRLF1,7
PMID,PMID:30298554,3,40,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",3.37e-07,0.0237,(2019) Annotating Transcriptional Effects of Genetic Variants in Disease-Relevant Tissue: Transcriptome-Wide Allelic Imbalance in Osteoarthritic Cartilage.,CRLF1,7
PMID,PMID:37692101,3,44,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.42e-07,0.0303,(2023) Neurotrophic factors in the physiology of motor neurons and their role in the pathobiology and therapeutic approach to amyotrophic lateral sclerosis.,CRLF1,7
PMID,PMID:23880850,3,44,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",4.42e-07,0.0303,(2013) Role of cytokine signaling during nervous system development.,CRLF1,7
PMID,PMID:32930881,3,45,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",4.71e-07,0.0315,(2020) The diversity of neuronal phenotypes in rodent and human autonomic ganglia.,CRLF1,7
PMID,PMID:33334075,3,45,9606,"CLCF1,IL27,CNTF","CLCF1,IL27,CNTF",4.71e-07,0.0315,(2020) The Role of gp130 Cytokines in Tuberculosis.,CRLF1,7
PMID,PMID:36233301,3,47,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",5.34e-07,0.0348,(2022) Calcium-Bound S100P Protein Is a Promiscuous Binding Partner of the Four-Helical Cytokines.,CRLF1,7
PMID,PMID:40393625,2,3,9606,"CLCF1,CRLF1","CLCF1,CRLF1",1.08e-06,0.0417,(2025) High-yield production of recombinant CLCF1 protein fused with human serum albumin in animal cells and toxicity evaluation in rodents.,CRLF1,7
PMID,PMID:37759746,3,59,9606,"CLCF1,CNTF,CRLF1","CLCF1,CNTF,CRLF1",1.03e-06,0.0417,(2023) Interaction of S100A6 Protein with the Four-Helical Cytokines.,CRLF1,7
PMID,PMID:37795085,3,56,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",8.85e-07,0.0417,(2023) Current understanding of the molecular mechanisms of circulating permeability factor in focal segmental glomerulosclerosis.,CRLF1,7
PMID,PMID:37945321,3,55,9606,"CLCF1,IL27,CNTF","CLCF1,IL27,CNTF",8.4e-07,0.0417,(2023) New perspectives in cancer immunotherapy: targeting IL-6 cytokine family.,CRLF1,7
PMID,PMID:34779136,3,64,9606,"CLCF1,CNTF,CNTFR","CLCF1,CNTF,CNTFR",1.3e-06,0.0417,"(2022) LIF, a mitogen for choroidal endothelial cells, protects the choriocapillaris: implications for prevention of geographic atrophy.",CRLF1,7
PMID,PMID:35328707,3,55,9606,"IL27,CNTF,CNTFR","IL27,CNTF,CNTFR",8.4e-07,0.0417,(2022) Stimulation of Osteoclast Formation by Oncostatin M and the Role of WNT16 as a Negative Feedback Regulator.,CRLF1,7
PMID,PMID:35699517,2,3,9606,"CLCF1,CRLF1","CLCF1,CRLF1",1.08e-06,0.0417,(2022) Clinical and molecular genetic findings of Crisponicold-induced sweating syndrome (CSCISS) spectrum in patients from Turkey.,CRLF1,7
PMID,PMID:36334441,2,2,9606,"CLCF1,CNTF","CLCF1,CNTF",6.49e-07,0.0417,(2022) CNTF induces Clcf1 in astrocytes to promote the differentiation of oligodendrocyte precursor cells.,CRLF1,7
PMID,PMID:33910095,2,2,9606,"CNTFR,CRLF1","CNTFR,CRLF1",6.49e-07,0.0417,(2021) Three new cases of Crisponi cold induced sweating syndrome (CSCISS1) in Turkish families.,CRLF1,7
PMID,PMID:34045653,3,60,9606,"IL27,CNTF,CRLF1","IL27,CNTF,CRLF1",1.08e-06,0.0417,"(2021) IL-30(+) (IL-27A): a familiar stranger in immunity, inflammation, and cancer.",CRLF1,7
