category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,Seed_Gene,Neighborhood_Size
PMID,PMID:34648531,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,0.0024,(2021) Identification of candidate genes on the basis of SNP by time-lagged heat stress interactions for milk production traits in German Holstein cattle.,ABCA6,3
PMID,PMID:30090003,3,45,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.36e-08,0.0024,(2018) ATP-binding cassette transporters in progression and clinical outcome of pancreatic cancer: What is the way forward?,ABCA6,3
PMID,PMID:35631534,3,47,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.54e-08,0.0025,(2022) DNA Copy Number Aberrations and Expression of ABC Transporter Genes in Breast Tumour: Correlation with the Effect of Neoadjuvant Chemotherapy and Prognosis of the Disease.,ABCA6,3
PMID,PMID:33945502,3,49,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.73e-08,0.0025,(2021) Adipocyte-like signature in ovarian cancer minimal residual disease identifies metabolic vulnerabilities of tumor-initiating cells.,ABCA6,3
PMID,PMID:34572110,3,48,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.63e-08,0.0025,(2021) Impact of ABC Transporters in Osteosarcoma and Ewings Sarcoma: Which Are Involved in Chemoresistance and Which Are Not?,ABCA6,3
PMID,PMID:26286669,3,48,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.63e-08,0.0025,(2015) Validated MicroRNA Target Databases: An Evaluation.,ABCA6,3
PMID,PMID:22553972,3,50,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.84e-08,0.0026,(2012) ATP-binding cassette transporters in immortalised human brain microvascular endothelial cells in normal and hypoxic conditions.,ABCA6,3
PMID,PMID:25505559,3,51,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.95e-08,0.0027,(2013) Expression pattern of human ATP-binding cassette transporters in skin.,ABCA6,3
PMID,PMID:28819395,3,55,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.42e-08,0.0033,(2017) Downregulation of ABC Transporters in Non-neoplastic Tissues Confers Better Prognosis for Pancreatic and Colorectal Cancer Patients.,ABCA6,3
PMID,PMID:31052165,3,72,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",5.3e-08,0.007,(2019) Biological Insights into Chemotherapy Resistance in Ovarian Cancer.,ABCA6,3
PMID,PMID:32873298,3,80,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",7.21e-08,0.0093,(2020) High expression of MKK3 is associated with worse clinical outcomes in African American breast cancer patients.,ABCA6,3
PMID,PMID:32403949,3,86,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",8.91e-08,0.0112,(2020) Transcriptional and Cellular Diversity of the Human Heart.,ABCA6,3
PMID,PMID:27727291,3,88,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",9.53e-08,0.0117,(2016) Early Transcriptomic Response to LDL and oxLDL in Human Vascular Smooth Muscle Cells.,ABCA6,3
PMID,PMID:32710948,2,3,9606,"ABCA9,ABCA8","ABCA9,ABCA8",1.55e-07,0.0181,(2020) Systematic analysis of the ABC transporter family in hepatocellular carcinoma reveals the importance of ABCB6 in regulating ferroptosis.,ABCA6,3
PMID,PMID:30283400,3,103,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.51e-07,0.0181,(2018) Sterol Metabolism and Transport in Atherosclerosis and Cancer.,ABCA6,3
PMID,PMID:12532264,2,3,9606,"ABCA6,ABCA9","ABCA6,ABCA9",1.55e-07,0.0181,(2003) Evolutionary analysis of a cluster of ATP-binding cassette (ABC) genes.,ABCA6,3
PMID,PMID:29520568,2,4,9606,"ABCA6,ABCA9","ABCA6,ABCA9",2.32e-07,0.0259,(2018) Gene expression of A6-like subgroup of ATP-binding cassette transporters in mouse brain parenchyma and microvessels.,ABCA6,3
PMID,PMID:11478798,2,4,9606,"ABCA6,ABCA8","ABCA6,ABCA8",2.32e-07,0.0259,"(2001) ABCA6, a novel a subclass ABC transporter.",ABCA6,3
PMID,PMID:35714911,3,128,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",2.87e-07,0.0308,(2022) New dawn for cancer cell death: Emerging role of lipid metabolism.,ABCA6,3
PMID,PMID:37153595,3,135,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.36e-07,0.0353,(2023) Diversity and heterogeneity in human breast cancer adipose tissue revealed at single-nucleus resolution.,ABCA6,3
RCTM,HSA-382556,3,102,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",1.47e-07,0.00034,ABC-family proteins mediated transport,ABCA6,3
RCTM,HSA-1369062,2,18,9606,"ABCA6,ABCA9","ABCA6,ABCA9",2.94e-06,0.0034,ABC transporters in lipid homeostasis,ABCA6,3
NetworkNeighborAL,CL:12311,3,12,9606,"ABCA6,ABCA9,ABCA8","ABCA6,ABCA9,ABCA8",3.57e-10,1.63e-06,"ABC-type xenobiotic transporter activity, and ABC transporters in lipid homeostasis",ABCA6,3
COMPARTMENTS,GOCC:0097058,2,2,9606,"CLCF1,CRLF1","CLCF1,CRLF1",6.49e-07,0.0015,CRLF-CLCF1 complex,CRLF1,7
COMPARTMENTS,GOCC:0097059,2,2,9606,"CLCF1,CNTFR","CLCF1,CNTFR",6.49e-07,0.0015,CNTFR-CLCF1 complex,CRLF1,7
COMPARTMENTS,GOCC:0005576,6,2079,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1",8.88e-06,0.0058,Extracellular region,CRLF1,7
COMPARTMENTS,GOCC:0005615,5,1027,9606,"IL12A,CLCF1,IL27,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTFR,CRLF1",7.5e-06,0.0058,Extracellular space,CRLF1,7
Process,GO:0042531,4,65,9606,"IL12A,CLCF1,CNTF,CRLF1","IL12A,CLCF1,CNTF,CRLF1",4.78e-09,7.49e-05,Positive regulation of tyrosine phosphorylation of STAT protein,CRLF1,7
Process,GO:0043524,4,153,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.33e-07,0.0007,Negative regulation of neuron apoptotic process,CRLF1,7
Process,GO:0042127,6,1669,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1","IL12A,CLCF1,IL27,CNTF,CNTFR,CRLF1",2.43e-06,0.0048,Regulation of cell population proliferation,CRLF1,7
Process,GO:0019221,4,369,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",4.23e-06,0.0066,Cytokine-mediated signaling pathway,CRLF1,7
Process,GO:0008284,5,945,9606,"IL12A,CLCF1,CNTF,CNTFR,CRLF1","IL12A,CLCF1,CNTF,CNTFR,CRLF1",4.99e-06,0.0071,Positive regulation of cell population proliferation,CRLF1,7
Process,GO:0070120,2,9,9606,"CNTF,CNTFR","CNTF,CNTFR",5.94e-06,0.0078,Ciliary neurotrophic factor-mediated signaling pathway,CRLF1,7
Process,GO:2000672,2,11,9606,"CNTFR,CRLF1","CNTFR,CRLF1",8.42e-06,0.0102,Negative regulation of motor neuron apoptotic process,CRLF1,7
Process,GO:0002822,3,179,9606,"IL12A,CLCF1,IL27","IL12A,CLCF1,IL27",2.64e-05,0.0276,Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,CRLF1,7
Process,GO:0042981,5,1462,9606,"IL12A,CLCF1,CNTF,CNTFR,CRLF1","IL12A,CLCF1,CNTF,CNTFR,CRLF1",4.2e-05,0.0387,Regulation of apoptotic process,CRLF1,7
Component,GO:0097058,2,2,9606,"CLCF1,CRLF1","CLCF1,CRLF1",6.49e-07,0.0013,CRLF-CLCF1 complex,CRLF1,7
Component,GO:0097059,2,2,9606,"CLCF1,CNTFR","CLCF1,CNTFR",6.49e-07,0.0013,CNTFR-CLCF1 complex,CRLF1,7
Function,GO:0005125,4,234,9606,"IL12A,CLCF1,IL27,CNTF","IL12A,CLCF1,IL27,CNTF",7.06e-07,0.0035,Cytokine activity,CRLF1,7
Function,GO:0005126,4,270,9606,"IL12A,CLCF1,IL27,CNTF","IL12A,CLCF1,IL27,CNTF",1.24e-06,0.0035,Cytokine receptor binding,CRLF1,7
Function,GO:0005127,2,8,9606,"CLCF1,CNTF","CLCF1,CNTF",4.86e-06,0.008,Ciliary neurotrophic factor receptor binding,CRLF1,7
Function,GO:0008083,3,162,9606,"IL12A,CLCF1,CNTF","IL12A,CLCF1,CNTF",1.97e-05,0.0161,Growth factor activity,CRLF1,7
Function,GO:0019955,3,141,9606,"IL12A,CNTFR,CRLF1","IL12A,CNTFR,CRLF1",1.31e-05,0.0161,Cytokine binding,CRLF1,7
Function,GO:0005102,5,1499,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR","IL12A,CLCF1,IL27,CNTF,CNTFR",4.74e-05,0.026,Signaling receptor binding,CRLF1,7
DISEASES,DOID:0060294,3,5,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",1.54e-09,7.06e-06,Cold-induced sweating syndrome,CRLF1,7
DISEASES,DOID:0080329,2,2,9606,"CNTFR,CRLF1","CNTFR,CRLF1",6.49e-07,0.0015,Cold-induced sweating syndrome 1,CRLF1,7
Keyword,KW-0202,3,187,9606,"IL12A,CLCF1,IL27","IL12A,CLCF1,IL27",3e-05,0.0202,Cytokine,CRLF1,7
KEGG,hsa04060,5,282,9606,"IL12A,CLCF1,IL27,CNTF,CNTFR","IL12A,CLCF1,IL27,CNTF,CNTFR",1.3e-08,4.36e-06,Cytokine-cytokine receptor interaction,CRLF1,7
KEGG,hsa04630,3,158,9606,"IL12A,CNTF,CNTFR","IL12A,CNTF,CNTFR",1.83e-05,0.0031,JAK-STAT signaling pathway,CRLF1,7
InterPro,IPR009079,4,56,9606,"IL12A,CLCF1,IL27,CNTF","IL12A,CLCF1,IL27,CNTF",2.7e-09,1.94e-05,"Four-helical cytokine-like, core",CRLF1,7
Pfam,PF01110,2,2,9606,"CLCF1,CNTF","CLCF1,CNTF",6.49e-07,0.0015,Ciliary neurotrophic factor,CRLF1,7
PMID,PMID:36930708,5,29,9606,"CLCF1,IL27,CNTF,CNTFR,CRLF1","CLCF1,IL27,CNTF,CNTFR,CRLF1",2.36e-13,1.21e-06,(2023) Structural insights into the assembly of gp130 family cytokine signaling complexes.,CRLF1,7
PMID,PMID:26198769,4,5,9606,"CLCF1,IL27,CNTFR,CRLF1","CLCF1,IL27,CNTFR,CRLF1",7.02e-13,1.21e-06,"(2015) Cardiotrophin-like cytokine factor 1 (CLCF1) and neuropoietin (NP) signalling and their roles in development, adulthood, cancer and degenerative disorders.",CRLF1,7
PMID,PMID:16782820,4,4,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.9e-13,1.21e-06,"(2006) Inactivation of cardiotrophin-like cytokine, a second ligand for ciliary neurotrophic factor receptor, leads to cold-induced sweating syndrome in a patient.",CRLF1,7
PMID,PMID:17436251,4,6,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.17e-12,1.5e-06,(2007) Mutations in cytokine receptor-like factor 1 (CRLF1) account for both Crisponi and cold-induced sweating syndromes.,CRLF1,7
PMID,PMID:35402550,5,48,9606,"CLCF1,IL27,CNTF,CNTFR,CRLF1","CLCF1,IL27,CNTF,CNTFR,CRLF1",2.42e-12,2.49e-06,(2022) The Role of Interleukin-6 Family Members in Cardiovascular Diseases.,CRLF1,7
PMID,PMID:29507344,4,12,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.01e-11,8.68e-06,(2018) Effect of human very low-density lipoproteins on cardiotrophin-like cytokine factor 1 (CLCF1) activity.,CRLF1,7
PMID,PMID:33430863,4,16,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",2.69e-11,1.98e-05,(2021) Association of cardiotrophin-like cytokine factor 1 levels in peripheral blood mononuclear cells with bone mineral density and osteoporosis in postmenopausal women.,CRLF1,7
PMID,PMID:28058407,4,19,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",4.92e-11,3.17e-05,(2016) Neuropathies of Stuve-Wiedemann Syndrome due to mutations in leukemia inhibitory factor receptor (LIFR) gene.,CRLF1,7
PMID,PMID:25843671,4,19,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",4.92e-11,3.17e-05,(2015) Janus kinase 2signal transducer and activator of transcription 3 inhibitors attenuate the effect of cardiotrophin-like cytokine factor 1 and human focal segmental glomerulosclerosis serum on glomerular filtration barrier.,CRLF1,7
PMID,PMID:30871285,4,23,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",9.75e-11,5.02e-05,(2019) Current Knowledge of IL-6 Cytokine Family Members in Acute and Chronic Kidney Disease.,CRLF1,7
PMID,PMID:34073576,5,107,9606,"CLCF1,IL27,CNTF,CNTFR,CRLF1","CLCF1,IL27,CNTF,CNTFR,CRLF1",1.13e-10,5.27e-05,(2021) Interleukins and Interleukin Receptors Evolutionary History and Origin in Relation to CD4+ T Cell Evolution.,CRLF1,7
PMID,PMID:24618404,4,25,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.32e-10,5.66e-05,(2014) Stuve-Wiedemann syndrome: LIFR and associated cytokines in clinical course and etiology.,CRLF1,7
PMID,PMID:26858303,4,28,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",2e-10,7.9e-05,"(2016) Cytokine-Like Factor 1, an Essential Facilitator of Cardiotrophin-Like Cytokine:Ciliary Neurotrophic Factor Receptor alpha Signaling and sorLA-Mediated Turnover.",CRLF1,7
PMID,PMID:33097691,4,29,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",2.27e-10,8.35e-05,(2020) The miR-30a-5pCLCF1 axis regulates sorafenib resistance and aerobic glycolysis in hepatocellular carcinoma.,CRLF1,7
PMID,PMID:28605657,4,33,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.67e-10,0.00013,(2017) Muscle as a paracrine and endocrine organ.,CRLF1,7
PMID,PMID:27054527,3,3,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",5.49e-10,0.00018,(2017) Corneal alterations in CrisponiCISS1 syndrome: A slit-lamp biomicroscopy and in vivo confocal microscopy corneal report.,CRLF1,7
PMID,PMID:24073352,3,3,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",5.49e-10,0.00018,(2013) Cold induced sweating syndrome with urinary system anomaly association.,CRLF1,7
PMID,PMID:23355913,3,3,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",5.49e-10,0.00018,(2012) Role of cytokine receptor-like factor 1 in hepatic stellate cells and fibrosis.,CRLF1,7
PMID,PMID:19098279,3,3,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",5.49e-10,0.00018,(2009) Neonatal death in mice lacking cardiotrophin-like cytokine is associated with multifocal neuronal hypoplasia.,CRLF1,7
PMID,PMID:14523086,3,3,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",5.49e-10,0.00018,(2003) Cardiotrophin-like cytokinecytokine-like factor 1 is an essential trophic factor for lumbar and facial motoneurons in vivo.,CRLF1,7
PMID,PMID:31998465,4,41,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",8.26e-10,0.0002,(2019) Gender associated effects of the ethanolic extracts of Chinese propolis on the hepatic transcriptome in ethanol-treated mice.,CRLF1,7
PMID,PMID:15450249,3,4,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",9.6e-10,0.00022,(2004) Novel neurotrophin-1B cell-stimulating factor-3 (NNT-1BSF-3)cardiotrophin-like cytokine (CLC)--a novel gp130 cytokine with pleiotropic functions.,CRLF1,7
PMID,PMID:28232471,4,45,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.17e-09,0.00026,(2017) Distinct populations of inflammatory fibroblasts and myofibroblasts in pancreatic cancer.,CRLF1,7
PMID,PMID:28951873,4,46,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.28e-09,0.00027,(2017) Multiple Targets for Novel Therapy of FSGS Associated with Circulating Permeability Factor.,CRLF1,7
PMID,PMID:35571403,4,48,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.5e-09,0.00031,"(2022) Bromodomain-containing protein 4 activates cardiotrophin-like cytokine factor 1, an unfavorable prognostic biomarker, and promotes glioblastoma in vitro.",CRLF1,7
PMID,PMID:32670064,4,49,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",1.62e-09,0.00031,(2020) Treating Different Diseases With the Same Method-A Traditional Chinese Medicine Concept Analyzed for Its Biological Basis.,CRLF1,7
PMID,PMID:10966616,3,5,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",1.54e-09,0.00031,(2000) CLF associates with CLC to form a functional heteromeric ligand for the CNTF receptor complex.,CRLF1,7
PMID,PMID:32998371,4,50,9606,"CLCF1,IL27,CNTF,CRLF1","CLCF1,IL27,CNTF,CRLF1",1.75e-09,0.00032,(2020) IL-12 and IL-23-Close Relatives with Structural Homologies but Distinct Immunological Functions.,CRLF1,7
PMID,PMID:27696410,3,6,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",2.3e-09,0.00041,(2017) Adult ciliary neurotrophic factor receptors help maintain facial motor neuron choline acetyltransferase expression in vivo following nerve crush.,CRLF1,7
PMID,PMID:15683542,3,6,9606,"CNTF,CNTFR,CRLF1","CNTF,CNTFR,CRLF1",2.3e-09,0.00041,(2005) clc is co-expressed with clf or cntfr in developing mouse muscles.,CRLF1,7
PMID,PMID:35055176,4,59,9606,"CLCF1,CNTF,CNTFR,CRLF1","CLCF1,CNTF,CNTFR,CRLF1",3.3e-09,0.00055,"(2022) CRLF1 and CLCF1 in Development, Health and Disease.",CRLF1,7
PMID,PMID:31497877,3,7,9606,"CLCF1,CNTFR,CRLF1","CLCF1,CNTFR,CRLF1",3.29e-09,0.00055,"(2020) Crisponicold-induced sweating syndrome: Differential diagnosis, pathogenesis and treatment concepts.",CRLF1,7
